iter	Passed	Remaining
419	2392	8999
420	2397	8990
421	2402	8982
422	2407	8974
423	2411	8962
424	2415	8952
425	2420	8943
426	2425	8934
427	2430	8925
428	2435	8917
429	2440	8909
430	2445	8901
431	2449	8891
432	2453	8880
433	2460	8876
434	2466	8872
435	2471	8865
436	2477	8860
437	2482	8852
438	2487	8843
439	2491	8834
440	2497	8828
441	2502	8821
442	2507	8814
443	2512	8806
444	2517	8798
445	2523	8791
446	2528	8785
447	2534	8779
448	2539	8773
449	2545	8767
450	2551	8761
451	2556	8756
452	2562	8750
453	2567	8743
454	2573	8738
455	2578	8731
456	2583	8723
457	2589	8717
458	2594	8711
459	2600	8705
460	2605	8697
461	2610	8691
462	2616	8685
463	2621	8678
464	2627	8673
465	2632	8666
466	2638	8660
467	2643	8654
468	2649	8649
469	2653	8638
470	2660	8635
471	2665	8630
472	2671	8623
473	2677	8618
474	2682	8613
475	2688	8606
476	2693	8600
477	2699	8594
478	2704	8587
479	2709	8580
480	2714	8573
481	2720	8567
482	2726	8562
483	2731	8554
484	2735	8546
485	2741	8539
486	2746	8532
487	2751	8523
488	2757	8519
489	2762	8512
490	2766	8503
491	2772	8497
492	2777	8491
493	2782	8483
494	2788	8477
495	2793	8471
496	2798	8463
497	2804	8458
498	2809	8452
499	2814	8443
500	2820	8438
501	2825	8430
502	2829	8421
503	2834	8412
504	2839	8406
505	2844	8397
506	2849	8390
507	2854	8382
508	2860	8377
509	2865	8372
510	2871	8367
511	2876	8359
512	2881	8351
513	2886	8346
514	2892	8340
515	2896	8330
516	2902	8324
517	2907	8316
518	2912	8309
519	2917	8304
520	2922	8295
521	2927	8288
522	2932	8281
523	2937	8272
524	2942	8265
525	2947	8258
526	2952	8252
527	2957	8245
528	2962	8238
529	2968	8233
530	2973	8227
531	2979	8221
532	2985	8216
533	2990	8210
534	2995	8203
535	3001	8198
536	3007	8192
537	3012	8186
538	3017	8178
539	3023	8173
540	3028	8166
541	3034	8162
542	3039	8156
543	3044	8148
544	3050	8144
545	3056	8138
546	3062	8134
547	3067	8128
548	3073	8123
549	3079	8118
550	3085	8114
551	3090	8108
552	3095	8100
553	3100	8093
554	3105	8086
555	3110	8078
556	3116	8072
557	3121	8066
558	3126	8059
559	3131	8053
560	3136	8045
561	3140	8036
562	3146	8032
563	3151	8025
564	3156	8016
565	3160	8008
566	3166	8002
567	3170	7993
568	3176	7988
569	3181	7982
570	3186	7974
571	3190	7965
572	3196	7959
573	3201	7953
574	3206	7947
575	3212	7942
576	3218	7936
577	3223	7930
578	3229	7925
579	3235	7920
580	3240	7914
581	3246	7908
582	3251	7902
583	3256	7894
584	3262	7891
585	3267	7884
586	3272	7878
587	3279	7874
588	3284	7868
589	3289	7862
590	3294	7855
591	3300	7848
592	3305	7842
593	3311	7838
594	3316	7831
595	3322	7826
596	3327	7819
597	3332	7813
598	3338	7807
599	3343	7801
600	3348	7794
601	3354	7788
602	3358	7780
603	3363	7774
604	3368	7767
605	3373	7760
