iter	Logloss
0	0.6840436096
1	0.6751781413
2	0.6667998149
3	0.6591628876
4	0.6514920909
5	0.6444656474
6	0.6374887339
7	0.6308500722
8	0.624227946
9	0.6183169963
10	0.612654307
11	0.6071155192
12	0.6019138184
13	0.596675354
14	0.5918033651
15	0.58723703
16	0.5827193858
17	0.5787377472
18	0.5748694255
19	0.5709921366
20	0.567149175
21	0.5636213226
22	0.5602141469
23	0.5569539439
24	0.5538019663
25	0.5508233744
26	0.5480639852
27	0.545288859
28	0.5427078807
29	0.5403309428
30	0.5380821177
31	0.5356266683
32	0.5333054504
33	0.5313952738
34	0.5294732208
35	0.5276874237
36	0.5256174266
37	0.5236482188
38	0.5216834971
39	0.5198144735
40	0.5179919637
41	0.5164344584
42	0.5149721018
43	0.5135391998
44	0.5119793854
45	0.5105968119
46	0.5093934174
47	0.5079904989
48	0.5066233978
49	0.5053343252
50	0.504080836
51	0.5029231669
52	0.5017749685
53	0.5007147573
54	0.499573288
55	0.4984155426
56	0.4974909617
57	0.4964691366
58	0.4956741943
59	0.4948048553
60	0.4938311412
61	0.4928347371
62	0.4919612427
63	0.4911612752
64	0.4903300578
65	0.4895317688
66	0.4886985372
67	0.4879166107
68	0.4873106232
69	0.4865392558
70	0.4857564596
71	0.484996048
72	0.4844193624
73	0.4837264303
74	0.4831385345
75	0.4825083974
76	0.4819131877
77	0.4814221141
78	0.4808037516
79	0.480253123
80	0.4796574402
81	0.4790936686
82	0.4784998271
83	0.4779617106
84	0.4774295909
85	0.4769266459
86	0.4764442342
87	0.475893926
88	0.4753737691
89	0.4748838145
90	0.4744191386
91	0.4739801636
92	0.4735259399
93	0.4730223643
94	0.4725699972
95	0.4720747681
96	0.4716728973
97	0.4713006236
98	0.4708974457
99	0.4705221965
100	0.4700619558
101	0.4696730804
102	0.4692584686
103	0.468862793
104	0.4684860484
105	0.4681359406
106	0.4678080902
107	0.4675289561
108	0.4672222137
109	0.4667172801
110	0.4663108927
111	0.4659186096
112	0.4655286662
113	0.4652377879
114	0.4649172618
115	0.4645511525
116	0.4641289622
117	0.4638127492
118	0.4632788289
119	0.4629370015
120	0.4626286062
121	0.4623008423
122	0.4618847555
123	0.4615785065
124	0.4611913198
125	0.4609002533
126	0.4605651703
127	0.4602468363
128	0.4599430135
129	0.459670283
130	0.4594160055
131	0.4591143443
132	0.4588573608
133	0.4585974884
134	0.4583369954
135	0.458153539
136	0.4579060415
137	0.4576383209
138	0.4573734792
139	0.4571256205
140	0.4568999125
141	0.456673406
142	0.4564898834
143	0.4561975911
144	0.456001358
145	0.45573231
146	0.4553382568
147	0.4549506378
148	0.4546190033
149	0.454388799
150	0.4541661682
151	0.4539612732
152	0.4537866313
153	0.4535995483
154	0.4533414917
155	0.4530441538
156	0.4528894908
157	0.4526361898
158	0.4524237264
159	0.4522377523
160	0.4519842987
161	0.4517764181
162	0.4515900523
163	0.4513861745
164	0.450982193
165	0.4508199463
166	0.4504506785
167	0.450225769
168	0.4499673818
169	0.4498066966
170	0.4495808462
171	0.4493763123
172	0.4491172689
173	0.4488883362
174	0.4486953481
175	0.4483764496
176	0.448114975
177	0.4478787486
178	0.4477200317
179	0.4475075785
180	0.4472302704
181	0.4470389099
182	0.4468684133
183	0.4467286479
184	0.446563029
185	0.4463658396
186	0.4462138062
187	0.4459450022
188	0.4457121226
189	0.445565862
190	0.4452775981
191	0.4450735881
192	0.4449250793
193	0.4446518606
194	0.444478185
195	0.4443403524
196	0.4440855611
197	0.4439284159
198	0.4437294362
199	0.4436023
200	0.4434500885
201	0.4432903341
202	0.4431545868
203	0.4430239156
204	0.442876531
205	0.4427390849
206	0.4426050313
207	0.4424719645
